sheet,nj,wave,chain,fte,fte_nm,wage
448,0,2,1,24.5,21.5,4.5
449,0,1,1,15.5,12.5,4.87
449,0,2,1,27.5,22.5,5.0
450,0,1,1,15.5,12.5,4.75
450,0,2,1,34.5,31.5,4.75
454,0,1,2,8.5,5.5,4.5
454,0,2,2,14.0,9.0,5.0
459,0,1,3,18.0,15.0,4.25
459,0,2,3,15.0,10.0,4.35
466,0,1,4,20.75,16.75,4.75
466,0,2,4,23.0,20.0,
471,0,1,1,39.0,35.0,4.25
471,0,2,1,26.5,23.5,4.25
472,0,1,1,41.5,38.5,4.25
472,0,2,1,23.5,20.5,4.9
473,0,1,1,22.5,18.5,4.75
473,0,2,1,35.5,33.5,4.5
475,0,1,1,32.0,29.0,4.5
475,0,2,1,21.0,18.0,4.5
476,0,1,1,24.0,21.0,4.25
476,0,2,1,23.0,20.0,4.75
477,0,1,1,26.0,22.0,4.25
477,0,2,1,20.0,16.0,6.25
478,0,1,1,48.5,44.5,4.5
478,0,2,1,27.0,23.0,4.35
485,0,1,2,8.5,5.5,4.5
485,0,2,2,13.0,10.0,4.5
491,0,1,3,18.5,16.5,4.5
491,0,2,3,,,
492,0,1,3,13.0,10.0,4.5
492,0,2,3,13.5,11.5,4.5
497,0,1,4,22.5,19.5,4.5
497,0,2,4,,,
498,0,1,4,28.0,25.0,4.75
498,0,2,4,26.75,23.75,5.0
501,0,1,1,24.5,21.5,4.25
501,0,2,1,43.5,37.5,4.75
503,0,1,1,18.5,14.5,4.75
503,0,2,1,41.25,38.25,4.5
510,0,1,3,23.5,19.5,4.25
510,0,2,3,14.25,11.25,
511,0,1,3,15.0,12.0,4.75
511,0,2,3,12.5,9.5,4.75
514,0,1,3,18.0,15.0,4.5
514,0,2,3,34.0,31.0,4.25
516,0,1,3,20.25,17.25,4.75
516,0,2,3,10.0,8.0,4.91
521,0,1,1,15.5,12.5,4.25
521,0,2,1,14.0,6.0,4.4
522,0,1,1,21.0,17.0,4.35
522,0,2,1,17.5,14.5,4.25
113,1,1,1,15.0,11.0,
113,1,2,1,27.0,22.0,5.05
123,1,1,1,15.0,10.0,
123,1,2,1,21.5,17.5,5.05
135,1,1,3,24.0,20.0,
135,1,2,3,23.0,20.0,5.05
138,1,1,3,19.25,17.25,
138,1,2,3,21.5,18.5,5.05
153,1,1,1,21.5,12.5,
153,1,2,1,34.5,31.5,5.05
181,1,1,2,9.5,6.5,
181,1,2,2,10.5,8.5,5.05
191,1,1,4,44.0,40.0,
191,1,2,4,16.5,12.5,5.05
231,1,1,1,,,
231,1,2,1,23.0,19.0,5.05
236,1,1,1,21.0,17.0,
236,1,2,1,38.0,34.0,5.05
254,1,1,4,28.0,25.0,
254,1,2,4,36.0,33.0,5.25
255,1,1,4,10.0,7.0,
255,1,2,4,16.0,14.0,
294,1,1,1,20.5,17.5,
294,1,2,1,20.5,17.5,5.05
306,1,1,3,25.5,22.5,
306,1,2,3,19.0,16.0,5.05
311,1,1,4,19.0,15.0,
311,1,2,4,53.0,50.0,5.05
315,1,1,1,16.5,14.5,
315,1,2,1,16.5,14.5,5.05
335,1,1,1,17.0,14.0,
335,1,2,1,16.5,13.5,5.05
372,1,1,1,27.5,22.5,
372,1,2,1,45.0,40.0,5.05
6,1,1,3,5.0,3.0,5.0
6,1,2,3,8.0,6.0,5.05
14,1,1,2,16.0,14.0,5.12
14,1,2,2,15.5,12.5,5.05
26,1,1,1,41.5,37.5,5.56
26,1,2,1,24.0,20.0,5.05
27,1,1,2,13.0,9.0,5.0
27,1,2,2,7.5,3.5,5.05
30,1,1,2,10.0,8.0,5.0
30,1,2,2,7.5,5.5,5.05
31,1,1,2,15.0,12.0,5.25
31,1,2,2,18.5,13.5,5.05
33,1,1,3,26.0,22.0,5.0
33,1,2,3,16.5,11.5,5.05
36,1,1,4,18.0,14.0,5.5
36,1,2,4,33.5,27.5,5.05
77,1,1,3,35.0,31.0,5.0
77,1,2,3,37.0,34.0,5.05
78,1,1,3,21.0,18.0,5.0
78,1,2,3,18.0,16.0,5.05
81,1,1,4,34.5,31.5,5.0
81,1,2,4,26.5,22.5,5.05
82,1,1,4,18.25,15.25,5.0
82,1,2,4,33.0,29.0,5.05
83,1,1,4,24.5,22.5,5.0
83,1,2,4,,,5.05
85,1,1,1,20.0,17.0,5.5
85,1,2,1,20.5,17.5,5.05
89,1,1,1,16.0,13.0,5.0
89,1,2,1,24.5,18.5,5.5
94,1,1,2,17.5,12.5,5.0
94,1,2,2,16.0,12.0,5.05
103,1,1,4,20.5,17.5,5.0
103,1,2,4,,,5.05
112,1,1,4,20.0,17.0,5.0
112,1,2,4,23.5,17.5,5.05
128,1,1,2,12.25,10.25,5.0
128,1,2,2,13.0,11.0,5.05
129,1,1,3,33.0,30.0,5.25
129,1,2,3,20.0,16.0,5.05
131,1,1,3,31.5,27.5,5.5
131,1,2,3,22.0,19.0,5.05
139,1,1,4,,,5.5
139,1,2,4,28.5,23.5,5.5
143,1,1,4,18.0,15.0,5.37
143,1,2,4,,,
144,1,1,4,28.0,25.0,5.05
144,1,2,4,25.5,22.5,5.05
145,1,1,1,16.5,13.5,5.0
145,1,2,1,18.0,14.0,5.28
147,1,1,1,14.75,11.75,5.12
147,1,2,1,9.0,6.0,5.25
148,1,1,1,23.5,19.5,5.25
148,1,2,1,26.5,22.5,5.05
151,1,1,1,10.0,7.0,5.0
151,1,2,1,,,
152,1,1,1,46.5,42.5,5.12
152,1,2,1,23.75,18.75,5.05
157,1,1,2,15.5,12.5,5.0
157,1,2,2,18.0,16.0,5.5
161,1,1,3,24.5,20.5,5.0
161,1,2,3,36.0,32.0,5.05
163,1,1,3,24.0,21.0,5.0
163,1,2,3,21.0,18.0,5.05
164,1,1,3,23.0,19.0,5.0
164,1,2,3,15.5,12.5,5.05
165,1,1,4,28.0,25.0,5.0
165,1,2,4,22.5,18.5,5.05
169,1,1,1,32.5,28.5,5.0
169,1,2,1,27.0,23.0,5.05
170,1,1,1,23.0,20.0,5.0
170,1,2,1,34.0,30.0,5.05
187,1,1,3,17.0,14.0,5.62
187,1,2,3,16.75,13.75,5.05
190,1,1,3,30.0,26.0,5.0
190,1,2,3,26.0,22.0,5.05
196,1,1,4,21.5,17.5,5.0
196,1,2,4,18.0,15.0,5.05
197,1,1,1,32.0,28.0,5.0
197,1,2,1,20.5,15.5,5.05
234,1,1,1,8.0,5.0,5.0
234,1,2,1,15.0,12.0,5.05
240,1,1,3,35.5,32.5,5.1
240,1,2,3,25.5,22.5,5.05
241,1,1,3,31.5,27.5,5.0
241,1,2,3,,,5.05
242,1,1,3,33.0,30.0,5.25
242,1,2,3,20.0,17.0,5.05
245,1,1,3,22.0,19.0,5.5
245,1,2,3,18.0,14.0,5.05
259,1,1,1,23.0,19.0,5.0
259,1,2,1,26.5,22.5,5.05
268,1,1,1,23.0,19.0,5.0
268,1,2,1,23.25,21.25,5.05
271,1,1,2,8.5,6.5,5.0
271,1,2,2,10.5,7.5,5.05
272,1,1,2,12.5,9.5,5.05
272,1,2,2,12.0,9.0,5.25
274,1,1,2,9.5,7.5,5.5
274,1,2,2,9.5,6.5,5.05
276,1,1,2,13.0,10.0,5.0
276,1,2,2,15.5,12.5,5.05
296,1,1,1,17.0,13.0,5.3
296,1,2,1,14.5,8.5,5.05
299,1,1,2,9.0,7.0,5.0
299,1,2,2,14.0,12.0,5.05
301,1,1,2,19.0,14.0,5.0
301,1,2,2,6.5,5.5,5.05
320,1,1,2,11.5,9.5,5.0
320,1,2,2,10.0,7.0,5.05
321,1,1,2,13.0,10.0,5.0
321,1,2,2,11.5,9.5,5.05
324,1,1,3,48.0,43.0,5.25
324,1,2,3,46.5,41.5,5.05
326,1,1,3,45.5,40.5,5.15
326,1,2,3,26.5,22.5,5.05
330,1,1,4,15.0,12.0,5.42
330,1,2,4,16.0,13.0,5.67
334,1,1,1,18.0,15.0,5.0
334,1,2,1,13.0,10.0,5.05
349,1,1,3,21.0,16.0,5.0
349,1,2,3,14.0,10.0,5.05
354,1,1,4,20.5,17.5,5.06
354,1,2,4,15.5,12.5,5.05
356,1,1,4,20.5,16.5,5.05
356,1,2,4,18.0,14.0,5.05
357,1,1,4,17.5,14.5,5.0
357,1,2,4,27.0,24.0,5.25
371,1,1,1,27.5,23.5,5.0
371,1,2,1,27.0,22.0,5.25
373,1,1,1,24.0,20.0,5.0
373,1,2,1,29.5,25.5,5.05
375,1,1,1,34.0,30.0,5.25
375,1,2,1,16.5,12.5,5.5
378,1,1,1,18.0,14.0,5.0
378,1,2,1,31.5,27.5,5.05
381,1,1,1,24.0,20.0,5.0
381,1,2,1,27.5,22.5,5.05
403,1,1,3,,28.5,5.05
403,1,2,3,25.5,22.5,5.05
406,1,1,4,33.5,29.5,5.0
406,1,2,4,32.0,28.0,5.5
407,1,1,4,12.0,10.0,5.75
407,1,2,4,14.5,11.5,5.5
409,1,1,1,35.0,33.0,5.0
409,1,2,1,10.5,7.5,5.05
1,1,1,1,35.0,31.0,4.5
1,1,2,1,44.0,40.0,5.05
2,1,1,1,16.0,13.0,4.75
2,1,2,1,15.5,12.5,5.25
3,1,1,2,15.5,12.5,4.25
3,1,2,2,10.5,7.5,5.05
4,1,1,3,19.0,16.0,4.75
4,1,2,3,24.0,20.0,5.05
5,1,1,3,24.0,20.0,4.5
5,1,2,3,29.0,25.0,5.15
8,1,1,4,,,4.8
8,1,2,4,30.5,27.5,5.05
9,1,1,1,36.0,32.0,4.37
9,1,2,1,20.0,16.0,5.05
10,1,1,1,29.0,25.0,4.25
10,1,2,1,26.5,22.5,5.05
11,1,1,1,29.0,25.0,4.25
11,1,2,1,27.0,24.0,5.05
12,1,1,1,21.25,18.25,4.37
12,1,2,1,26.5,22.5,5.05
13,1,1,2,15.5,12.5,4.5
13,1,2,2,10.5,7.5,5.0
15,1,1,3,19.5,15.5,4.6
15,1,2,3,18.0,15.0,5.05
16,1,1,3,21.0,17.0,4.5
16,1,2,3,18.5,15.5,5.05
17,1,1,3,14.0,10.0,4.37
17,1,2,3,25.5,21.5,5.05
18,1,1,3,30.5,27.5,4.25
18,1,2,3,32.0,27.0,5.05
19,1,1,1,23.5,19.5,4.25
19,1,2,1,33.0,28.0,5.05
21,1,1,2,14.0,11.0,4.45
21,1,2,2,7.5,5.5,5.05
22,1,1,3,14.5,10.5,4.35
22,1,2,3,12.5,10.5,5.05
23,1,1,1,15.5,12.5,4.5
23,1,2,1,24.0,21.0,5.05
24,1,1,1,26.5,22.5,4.75
24,1,2,1,29.0,25.0,5.05
28,1,1,2,8.0,7.0,4.5
28,1,2,2,10.0,7.0,
29,1,1,2,5.5,3.5,4.5
29,1,2,2,9.5,6.5,5.05
32,1,1,3,23.25,20.25,4.5
32,1,2,3,17.5,14.5,5.05
34,1,1,3,15.5,12.5,4.95
34,1,2,3,17.5,14.5,5.05
35,1,1,4,32.25,28.25,4.5
35,1,2,4,25.0,22.0,5.05
38,1,1,1,30.0,25.0,4.25
38,1,2,1,26.0,20.0,5.05
63,1,1,1,,29.0,4.25
63,1,2,1,24.0,20.0,5.05
64,1,1,1,30.5,27.5,4.5
64,1,2,1,22.5,19.5,5.05
65,1,1,1,14.0,10.0,4.8
65,1,2,1,,,5.05
66,1,1,1,27.0,24.0,4.25
66,1,2,1,35.0,31.0,5.05
67,1,1,1,18.5,12.5,4.5
67,1,2,1,17.75,12.75,5.05
68,1,1,1,38.0,35.0,4.25
68,1,2,1,24.5,21.5,5.05
69,1,1,1,16.5,13.5,4.25
69,1,2,1,16.5,13.5,5.05
70,1,1,1,50.0,45.0,4.5
70,1,2,1,30.0,25.0,5.05
71,1,1,1,20.5,17.5,4.75
71,1,2,1,39.0,36.0,5.05
73,1,1,2,6.5,3.5,4.25
73,1,2,2,17.0,14.0,5.05
75,1,1,2,13.5,10.5,4.25
75,1,2,2,12.5,9.5,5.05
76,1,1,3,28.0,24.0,4.25
76,1,2,3,38.5,32.5,5.05
79,1,1,3,21.5,18.5,4.5
79,1,2,3,20.0,17.0,5.05
80,1,1,4,,14.5,4.25
80,1,2,4,21.0,18.0,5.05
84,1,1,1,24.0,19.0,4.5
84,1,2,1,32.0,27.0,5.05
86,1,1,1,20.5,16.5,4.25
86,1,2,1,19.0,15.0,5.05
87,1,1,1,,7.5,4.5
87,1,2,1,20.0,15.0,5.05
88,1,1,1,23.5,20.5,4.25
88,1,2,1,26.5,22.5,5.05
91,1,1,1,23.0,19.0,4.25
91,1,2,1,19.0,15.0,5.05
92,1,1,1,17.0,13.0,4.25
92,1,2,1,20.0,17.0,5.05
93,1,1,1,20.5,17.5,4.25
93,1,2,1,22.5,17.5,5.05
95,1,1,2,23.5,19.5,4.25
95,1,2,2,10.0,7.0,5.05
96,1,1,2,9.5,7.5,4.25
96,1,2,2,12.5,7.5,5.05
97,1,1,2,10.0,6.0,4.25
97,1,2,2,11.0,8.0,5.05
98,1,1,2,14.0,10.0,4.25
98,1,2,2,12.5,9.5,5.05
99,1,1,3,85.0,80.0,4.75
99,1,2,3,59.0,55.0,5.05
101,1,1,3,15.0,12.0,4.75
101,1,2,3,19.0,16.0,5.05
102,1,1,3,21.5,18.5,4.4
102,1,2,3,15.5,13.5,5.05
104,1,1,4,53.0,50.0,4.62
104,1,2,4,19.0,16.0,5.05
105,1,1,1,24.0,20.0,4.25
105,1,2,1,26.5,22.5,5.05
106,1,1,1,20.5,17.5,4.25
106,1,2,1,17.5,14.5,5.05
107,1,1,1,14.5,11.5,4.25
107,1,2,1,20.5,18.5,5.05
108,1,1,1,25.0,21.0,4.25
108,1,2,1,28.0,23.0,5.05
111,1,1,3,27.0,24.0,4.25
111,1,2,3,30.25,27.25,5.05
114,1,1,1,22.5,17.5,4.75
114,1,2,1,44.0,40.0,5.25
115,1,1,1,36.5,32.5,4.75
115,1,2,1,17.5,13.5,5.05
116,1,1,1,17.25,15.25,4.25
116,1,2,1,31.0,28.0,5.05
118,1,1,1,21.5,17.5,4.25
118,1,2,1,31.0,28.0,5.05
119,1,1,1,24.5,21.5,4.75
119,1,2,1,28.5,24.5,5.05
120,1,1,1,19.0,16.0,4.5
120,1,2,1,19.0,15.0,5.05
122,1,1,1,25.0,20.0,4.25
122,1,2,1,41.0,35.0,5.05
124,1,1,1,16.0,13.0,4.25
124,1,2,1,28.0,24.0,5.05
125,1,1,2,19.0,15.0,4.5
125,1,2,2,9.5,7.5,5.05
130,1,1,3,22.75,19.75,4.5
130,1,2,3,25.0,21.0,5.05
132,1,1,3,35.0,30.0,4.5
132,1,2,3,28.0,25.0,5.5
133,1,1,3,16.0,14.0,4.75
133,1,2,3,16.0,13.0,5.05
134,1,1,3,21.0,18.0,4.62
134,1,2,3,22.75,19.75,5.05
136,1,1,3,26.75,21.75,4.25
136,1,2,3,,,
137,1,1,3,30.5,27.5,4.25
137,1,2,3,32.0,27.0,5.05
140,1,1,4,23.0,20.0,4.5
140,1,2,4,27.5,22.5,5.67
141,1,1,4,21.5,17.5,4.75
141,1,2,4,25.5,22.5,5.05
142,1,1,4,36.5,32.5,4.25
142,1,2,4,60.5,55.5,5.05
146,1,1,1,23.0,18.0,4.8
146,1,2,1,20.5,16.0,5.05
149,1,1,1,14.0,10.0,4.5
149,1,2,1,16.0,13.0,5.05
150,1,1,1,17.25,13.75,4.67
150,1,2,1,25.0,22.0,5.75
156,1,1,1,18.5,15.5,4.87
156,1,2,1,13.0,11.0,5.05
158,1,1,2,8.5,5.5,4.5
158,1,2,2,9.0,5.0,5.05
159,1,1,2,14.0,12.0,4.5
159,1,2,2,16.5,12.5,5.25
162,1,1,3,23.0,20.0,4.75
162,1,2,3,21.0,18.0,5.05
166,1,1,4,29.0,24.0,4.75
166,1,2,4,21.5,17.5,5.05
168,1,1,1,19.0,15.0,4.25
168,1,2,1,20.0,16.0,5.25
171,1,1,1,21.0,18.0,4.25
171,1,2,1,21.25,16.25,5.05
172,1,1,1,17.0,12.0,4.75
172,1,2,1,21.5,18.5,5.05
173,1,1,1,36.0,26.0,4.85
173,1,2,1,31.0,26.0,5.05
174,1,1,1,25.0,21.0,4.75
174,1,2,1,33.0,30.0,5.05
176,1,1,1,29.5,25.5,4.62
176,1,2,1,37.75,33.75,5.05
178,1,1,2,22.0,19.0,4.25
178,1,2,2,9.0,6.0,5.05
179,1,1,2,11.0,8.0,4.25
179,1,2,2,11.0,7.0,5.05
180,1,1,2,13.5,9.5,4.5
180,1,2,2,12.75,8.75,5.05
182,1,1,2,13.5,10.5,4.5
182,1,2,2,10.5,7.5,5.05
183,1,1,2,18.0,14.0,4.62
183,1,2,2,22.0,20.0,5.05
185,1,1,2,9.5,6.5,4.5
185,1,2,2,8.0,5.0,5.05
186,1,1,3,24.0,20.0,4.75
186,1,2,3,25.0,21.0,5.05
189,1,1,3,14.5,11.5,4.75
189,1,2,3,12.5,9.5,5.05
192,1,1,4,29.0,25.0,4.87
192,1,2,4,22.5,19.5,5.25
193,1,1,4,10.5,7.5,4.5
193,1,2,4,11.5,8.5,5.05
195,1,1,4,18.0,15.0,4.25
195,1,2,4,23.5,20.5,5.05
198,1,1,1,,,4.25
198,1,2,1,30.0,26.0,5.05
199,1,1,2,9.0,6.0,4.35
199,1,2,2,16.5,12.5,5.05
200,1,1,1,33.0,30.0,4.25
200,1,2,1,29.0,25.0,5.05
201,1,1,1,19.5,16.5,4.5
201,1,2,1,30.0,27.0,5.05
202,1,1,1,41.0,37.0,4.25
202,1,2,1,22.5,18.5,5.05
203,1,1,1,17.0,15.0,4.25
203,1,2,1,24.0,21.0,5.05
204,1,1,1,18.25,14.25,4.25
204,1,2,1,21.75,18.75,5.05
207,1,1,2,17.0,13.0,4.75
207,1,2,2,13.5,11.5,5.2
208,1,1,3,32.0,28.0,4.62
208,1,2,3,24.0,21.0,5.05
209,1,1,3,26.0,22.0,4.25
209,1,2,3,28.5,24.5,5.05
210,1,1,4,11.5,9.5,4.5
210,1,2,4,10.0,7.0,5.05
211,1,1,1,21.0,17.0,4.5
211,1,2,1,23.5,19.5,5.05
212,1,1,1,22.75,19.75,4.5
212,1,2,1,30.5,27.5,5.05
213,1,1,1,18.5,14.5,4.55
213,1,2,1,24.75,20.75,5.05
214,1,1,1,20.0,17.0,4.62
214,1,2,1,22.5,17.5,5.05
215,1,1,1,18.0,15.0,4.5
215,1,2,1,28.0,25.0,5.05
216,1,1,2,10.5,7.5,4.25
216,1,2,2,14.0,11.0,5.05
217,1,1,2,10.5,8.5,4.25
217,1,2,2,9.0,6.0,5.05
218,1,1,2,11.0,9.0,4.35
218,1,2,2,9.5,6.5,5.05
219,1,1,2,10.5,7.5,4.25
219,1,2,2,15.5,13.5,5.05
220,1,1,2,12.5,10.5,4.25
220,1,2,2,12.0,9.0,5.05
221,1,1,2,18.0,15.0,4.6
221,1,2,2,11.5,8.5,5.05
222,1,1,3,17.0,14.0,4.25
222,1,2,3,12.5,9.5,5.05
223,1,1,3,15.0,12.0,4.75
223,1,2,3,16.0,13.0,5.05
225,1,1,3,19.5,16.5,4.75
225,1,2,3,28.5,24.5,5.05
226,1,1,4,13.0,11.0,4.25
226,1,2,4,15.0,13.0,5.3
228,1,1,4,20.25,17.25,4.5
228,1,2,4,23.5,20.5,5.05
229,1,1,1,26.0,23.0,4.5
229,1,2,1,30.5,27.5,5.5
230,1,1,1,15.5,12.5,4.25
230,1,2,1,26.5,23.5,5.05
232,1,1,1,24.0,21.0,4.75
232,1,2,1,27.0,23.0,5.05
233,1,1,1,25.5,22.5,4.65
233,1,2,1,21.5,18.5,5.05
235,1,1,1,14.5,13.5,4.25
235,1,2,1,,,5.05
237,1,1,1,21.5,17.5,4.25
237,1,2,1,21.5,17.5,5.05
238,1,1,2,14.0,11.0,4.75
238,1,2,2,37.5,32.5,5.05
239,1,1,2,20.0,17.0,4.25
239,1,2,2,11.5,9.5,5.05
243,1,1,3,22.5,19.5,4.5
243,1,2,3,21.0,18.0,5.05
244,1,1,3,30.0,27.0,4.25
244,1,2,3,28.0,22.0,5.05
247,1,1,4,24.0,20.0,4.5
247,1,2,4,24.0,20.0,5.05
248,1,1,4,22.0,16.0,4.75
248,1,2,4,23.0,17.0,5.05
249,1,1,1,13.0,9.0,4.37
249,1,2,1,19.0,16.0,5.05
250,1,1,2,5.0,3.0,4.5
250,1,2,2,7.0,4.0,5.05
253,1,1,3,13.5,10.5,4.87
253,1,2,3,14.0,8.0,5.05
257,1,1,1,28.0,25.0,4.25
257,1,2,1,,,
258,1,1,1,18.0,15.0,4.25
258,1,2,1,32.0,29.0,5.05
260,1,1,1,24.0,20.0,4.25
260,1,2,1,22.0,17.0,5.05
262,1,1,1,16.5,13.5,4.25
262,1,2,1,14.25,11.25,5.05
264,1,1,1,7.0,5.0,4.25
264,1,2,1,16.5,11.5,5.05
265,1,1,1,11.0,10.0,4.25
265,1,2,1,,,
267,1,1,1,19.5,16.5,4.25
267,1,2,1,47.5,42.5,5.05
269,1,1,2,10.0,7.0,4.45
269,1,2,2,15.5,11.5,5.05
273,1,1,2,13.0,9.0,4.62
273,1,2,2,10.5,7.5,5.05
275,1,1,2,10.0,6.0,4.25
275,1,2,2,7.0,5.0,5.05
277,1,1,2,12.5,9.5,4.25
277,1,2,2,11.0,8.0,5.05
278,1,1,2,8.0,5.0,4.25
278,1,2,2,8.5,4.5,5.05
282,1,1,3,12.0,9.0,4.25
282,1,2,3,,,
284,1,1,3,20.5,16.5,4.5
284,1,2,3,15.0,12.0,5.05
285,1,1,3,18.5,15.5,4.75
285,1,2,3,13.5,10.5,5.05
286,1,1,3,11.5,8.5,4.75
286,1,2,3,12.5,9.5,5.05
287,1,1,3,15.0,12.0,4.5
287,1,2,3,12.5,9.5,5.05
288,1,1,3,13.0,10.0,4.75
288,1,2,3,12.5,9.5,5.05
289,1,1,3,10.0,8.0,4.25
289,1,2,3,10.0,8.0,5.05
290,1,1,4,17.0,14.0,4.75
290,1,2,4,13.5,11.5,5.05
291,1,1,4,17.0,14.0,4.55
291,1,2,4,16.0,13.0,5.1
292,1,1,4,20.5,17.5,4.8
292,1,2,4,23.5,20.5,5.05
295,1,1,1,15.5,12.5,4.75
295,1,2,1,,,5.05
297,1,1,1,19.5,16.5,4.25
297,1,2,1,34.0,30.0,5.05
303,1,1,3,30.5,27.5,4.35
303,1,2,3,32.5,29.5,5.05
304,1,1,3,23.0,20.0,4.5
304,1,2,3,21.5,17.5,5.05
305,1,1,3,13.0,10.0,4.39
305,1,2,3,20.0,16.0,5.05
307,1,1,3,30.25,26.25,4.25
307,1,2,3,43.5,37.5,5.2
310,1,1,4,18.0,14.0,4.25
310,1,2,4,17.5,14.5,5.05
312,1,1,1,10.0,7.0,4.25
312,1,2,1,7.0,4.0,5.05
313,1,1,1,19.5,15.5,4.5
313,1,2,1,,15.0,5.05
314,1,1,1,17.0,14.0,4.62
314,1,2,1,22.0,18.0,5.25
316,1,1,1,25.5,22.5,4.62
316,1,2,1,22.0,19.0,5.05
317,1,1,1,6.0,4.0,4.25
317,1,2,1,7.0,4.0,5.05
318,1,1,2,11.5,8.5,4.75
318,1,2,2,14.0,10.0,5.05
319,1,1,2,8.5,5.5,4.62
319,1,2,2,27.0,24.0,5.05
322,1,1,3,18.5,14.5,4.75
322,1,2,3,18.5,14.5,5.05
325,1,1,3,15.5,11.5,4.5
325,1,2,3,11.5,8.5,5.05
333,1,1,1,14.25,10.25,4.25
333,1,2,1,16.0,13.0,5.05
336,1,1,1,38.0,34.0,4.5
336,1,2,1,25.0,20.0,5.05
337,1,1,1,24.75,19.75,4.87
